to	~쪽으로, ~에게
that	저것
necessary	필요한
first	첫 번째의
from	~로부터
least	가장 작은, 가장 적은(little의 최상급)
kind	친절한
any	어떤, 무엇이든, 누구든
receive	받다
large	큰
myself	나 자신
ask	묻다
since	~이래로
name	이름
show	보여주다
father	아버지
see	보다
war	전쟁
boy	소년
light	빛
animal	동물
take	가지고 가다, 받다
everything	모든 것
student	학생
English	영어
friend	친구
quite	상당히, 꽤
until	~까지
lose	잃다
continue	계속하다
mother	어머니
increase	증가하다
between	~(둘) 사이에
before	~ 이전에
process	과정
instance	보기, 경우
thus	그러므로
sit	앉다
success	성공
single	단 하나의, 독신의
window	창문
everyone	모두 다
wait	기다리다
outside	외부, 밖의
choose	선택하다
yourself	당신 자신
generation	세대
behind	~의 뒤에
million	백만
village	마을
serious	진지한, 심각한
line	선, 줄
belief	신념
likely	~할 것 같은
rule	규칙
explain	설명하다
game	경기
stay	머무르다
accident	사고
paper	종이
beautiful	아름다운
suffer	~을 겪다
advantage	유리한 점, 이득
radio	라디오
creature	창조물
six	여섯
action	행동
offer	제공하다
door	문
build	세우다, 건설하다
fast	빠른, 빨리
population	인구
several	몇몇의
sight	광경
importance	중요성
various	여러 가지의
practice	연습하다
act	행동하다
company	회사
writing	쓰기
manner	예절
main	주요한
educate	교육하다
visit	방문하다
object	사물, 목적
tree	나무
eat	먹다
lack	결핍, 부족한
event	행사
limit	한계
rate	비율
television	텔레비전
easily	쉽게
measure	측정하다, 치수를 재다
physical	육체의, 신체의
space	공간
share	나누다, 분배하다
practical	실용적인, 실제의
music	음악
listen	듣다
kill	죽이다
standard	표준, 기준
pick	찍다, 줍다
popular	인기 있는
simply	간단히
merely	단지
rain	비, 비가 오다
personal	개인의, 개인적인
average	평균
mental	정신적인
recognize	인정하다, 알아보다
simple	간단한
agree	동의하다
step	걸음
white	흰, 하얀색
moon	달
doubt	의심하다
Greek	그리스 사람(의)
fellow	동료
garden	정원
street	거리
Europe	유럽
across	가로질러, 맞은편에
surprise	놀라게 하다
private	사적인
buy	사다
habit	습관
special	특별한
ten	열(10)
danger	위험
noise	소음
piece	조각, 한 개
energy	에너지
someone	누군가
yes	네(긍정의 대답)
arrive	도착하다
doctor	의사
prevent	막다, 방지하다
attitude	태도
meaning	의미
mass	대중, 집단, 큰 덩어리
information	정보
sort	종류
except	~을 제외하고는
labor	노동
respect	존경하다
satisfy	만족시키다
acquire	얻다
whose	누구의
add	더하다
literature	문학
advance	진보, 전진
ground	땅, 토지
chance	기회
bed	침대
stage	무대
situation	상황
late	늦은
save	구하다
cold	추운
service	봉사
mile	마일
stone	돌
suppose	가정하다
anyone	누군가, 누구라도
gone	go(가다)의 과거분사형
behavior	행동, 태도
career	직업
philosophy	철학
nearly	거의
fine	좋은
lay	놓다, 두다, 눕히다
degree	정도
attention	주의
poetry	시
truth	진실
month	한 달
British	영국
sea	바다
environment	환경
ancient	고대의
prefer	~을 더 좋아하다
sun	태양
worth	가치
brother	형제
unless	만일 ~이 아니면
fire	불
clear	맑은, 명백한
ordinary	보통의
tend	~하는 경향이 있다
low	낮은
son	아들
method	방법
front	앞, 정면
existence	존재
pay	지불하다
judge	재판관
blood	피
already	이미, 벌써
notice	주의, 알아채다
bad	나쁜
condition	상태
ourselves	우리들 자신
worker	노동자
foreign	외국의
provide	공급하다, 제공하다
newspaper	신문
area	지역
color	색
suggest	제안하다
instead	그 대신에
particularly	특히
artist	예술가
discovery	발견
library	도서관
rich	부유한
member	회원
beyond	~의 저편에
effect	효과
impossible	불가능한
wife	아내
effort	노력
opportunity	기회
exactly	정확하게
industry	산업
difficulty	어려움
economic	경제의
movement	운동, 활동, 움직임
communication	통신, 정보(의사) 교환
universe	우주
reader	독자
demand	요구하다
surface	표면
mark	표시(하다)
care	걱정, 주의, 돌봄
hardly	거의 ~않다
choice	선택
break	부수다
afraid	두려워하여
wrong	잘못된, 틀린
taste	맛
spirit	정신, 마음, 영혼
fail	실패하다
sleep	잠자다
southern	남쪽의
river	강
cover	덮다
alone	홀로
rest	휴식, 쉬다
happy	행복한
hold	손에 들다
certainly	확실히
twenty	스물(20)
government	정부
material	물질
strong	강한
lead	인도하다, 이끌고 가다
position	위치, 자세
interested	흥미를 가진
teach	가르치다
forward	앞으로
else	그 밖에
United States	미합중국
fall	떨어지다
relation	관계
bird	새
beauty	아름다움
interesting	흥미있는
attempt	시도(하다)
speech	연설
minute	분
imagine	상상하다
require	필요로 하다
star	별
none	아무(것)도 ~않다
occur	일어나다, 발생하다
fear	공포
flower	꽃
suddenly	갑자기
wonder	의아하게 여기다, 놀라다
complete	완성하다
record	기록(하다)
prove	증명하다
voice	목소리
generally	일반적으로
plan	계획(하다)
spend	쓰다, 소비하다
enter	~에 들어가다
scientist	과학자
determine	결정하다
either	어느 한 쪽의
neighbor	이웃 사람
finally	마침내
quality	질, 품질
express	표현하다
meet	만나다
period	기간
field	들판, 벌판
third	세 번째의, 제3의
weather	날씨
extent	넓이
complex	복잡한
institution	제도, 협회
Chinese	중국의, 중국인, 중국어
horse	말
wild	야생의
sky	하늘
depend	~에 의존하다
growth	성장
curiosity	호기심
amount	총계, 양
sign	기호, 신호, 간판
automobile	자동차
heavy	무거운
search	찾다
achievement	성취
moral	도덕의
factor	요소
figure	모습, 인물
experiment	실험
possess	소유하다
decision	결심
slow	느린
mountain	산
journey	여행
warm	따뜻한
supply	공급하다
perfect	완전한
shape	모양
sister	자매
office	사무소
support	지탱하다
race	경주
appreciate	감사하다
smoke	연기
familiar	익숙한
beginning	처음, 시작
direction	방향
fill	채우다
hurry	서두르다
opposite	반대의
adventure	모험
democracy	민주주의
normal	보통의, 표준의
equal	같은, 평등한
article	(신문) 기사, 물품
similar	유사한
frequently	자주
cross	십자가, ~을 가로지르다
afternoon	오후
invention	발명
contribute	~을 기증하다, 공헌하다
citizen	시민
draw	당기다, (그림을) 그리다
childhood	유년기
direct	똑바른, 직접의
establish	~을 설립하다
largely	주로, 대부분, 크게
god	신
leisure	여가
content	만족한, 만족하여
fly	날다
summer	여름
suit	(정장) 한 벌
herself	그녀 자신
black	검은
promise	약속(하다)
ideal	이상적인
prepare	준비하다
famous	유명한
busy	바쁜
collect	~을 모으다, 수집하다
succeed	성공하다
maintain	~을 유지하다
news	뉴스
master	주인
youth	젊은이, 청년
escape	도망하다, 탈출하다
rise	뜨다, 오르다
immediately	즉시
communicate	의사소통하다
evil	나쁜, 악
spring	봄
dress	의복, 정장
assure	보증하다, 확신시키다
speed	속력
entirely	완전히
memory	기억력
separate	~을 분리하다
everybody	모두, 누구나 다
admit	~을 인정하다
patient	참을성 있는
breathe	호흡하다
recent	최근의
baby	갓난아이
atmosphere	환경, 분위기
emotion	감정, 정서
essential	필수적인
earn	일하여 벌다
possibility	가능성
necessity	필요(성)
include	~을 포함하다
obvious	명백한
function	기능, 작용
conduct	행위, 행동하다
abroad	해외로
ready	준비된
apple	사과
strange	이상한, 낯선
due	지불기일이 된
pound	(무게)파운드
account	설명하다
seek	~을 찾다, 추구하다
German	독일의, 독일인, 독일어
useful	쓸모 있는, 유용한
level	수준, 정도
occasion	경우, 특별한 일
interpret	해석하다
completely	완전히, 철저히
surround	~을 둘러싸다, 에워싸다
seat	좌석, 자리
approach	~에 접근하다, 다가가다
west	서쪽(의)
majority	대다수
reply	대답하다
brain	뇌
telephone	전화
author	작가, 저자
path	작은 길, 오솔길
affect	~에 영향을 미치다
evening	저녁
happiness	행복
cut	자르다
above	~보다 위에
intelligent	지적인
drop	떨어지다, ~을 떨어뜨리다
compare	(둘을) 비교하다
mouth	입
manage	~을 관리[경영]하다
note	(짧은) 기록, 적어두다
observe	~을 관찰하다
theory	이론
image	이미지, 형태
describe	묘사하다
impression	인상
island	섬
discussion	의논, 토론
wide	폭이 넓은
laugh	웃다
variety	다양성
bit	작은 조각
height	높이
center	중심
bear	(아이를) 낳다, ~을 견디다
vast	거대한, 막대한
price	값, 가격
comfort	~을 위로하다
Britain	영국
principle	원리, 원칙
income	수입, 소득
audience	청중
cease	그치다, ~을 중지하다
thank	감사하다
community	공동체, 지역사회
personality	개성, 성격
mere	단순한, 단지 ~에 불과한
avoid	~을 피하다
soul	영혼, 정신, 마음
rock	바위
quickly	빨리
holiday	휴일
involve	포함하다
disease	병, 질병
survive	~에서 살아남다
fight	싸우다, 전투하다
comfortable	편안한
clothes	옷, 의복
store	가게, 상점
wind	바람
nobody	아무도 ~않다
touch	손을 대다, 만지다
admire	감탄하다
concentrate	집중하다
crowd	군중, 다수
base	토대, 기초, 근거
source	원천, 근원
western	서쪽의
recently	최근에, 요즘에
station	역, 정거장
courage	용기
conscious	의식하고 있는
enable	~할 수 있게 하다
round	둥근
conversation	회화, 대화
bury	~을 묻다
mankind	인류
drink	마시다
fish	물고기
structure	구조
tongue	혀
achieve	~을 성취하다
drive	운전하다
circumstance	상황, 환경
successful	성공한
reveal	~을 드러내다, 밝히다
party	파티, 모임
duty	의무
exercise	운동(하다), 연습(하다)
husband	남편
ocean	대양
quiet	조용한
constant	지속적인, 불변의
pattern	형, 양식
actually	실제로
cost	비용이 들다
apply	적용하다, 신청하다
differ	다르다
dear	친애하는
deep	깊은
church	교회
capacity	수용력, 정원
settle	정착하다
plant	식물, (식물을) 심다
middle	한가운데의
highly	높이, 대단히
raise	~을 올리다
marry	~와 결혼하다
imagination	상상
pain	아픔, 고통
Englishman	영국인
mistress	주부, 여주인
judgement	판단, 평가
dead	죽은
cry	울다
finish	~을 끝내다
destroy	~을 파괴하다
sport	스포츠
cat	고양이
living	생계, 생활
national	국민의, 국가의
instrument	도구
basic	기초의, 근본적인
ancestor	조상, 선조
wood	목재, 숲
scholar	학자
clearly	명확히, 확실히
dark	어두운
French	프랑스인, 프랑스의, 프랑스어
liberty	자유
tradition	전통
breath	숨, 호흡
daily	매일의
fit	~에 꼭 맞다, 적합하다
table	테이블, 탁자
European	유럽(사람)의
religion	종교
human being	인류
affair	사건
wear	입고[쓰고, 신고] 있다
distance	거리
poet	시인
lecture	강의
heat	열
industrial	산업의
native	출생지의, 타고난
authority	권위
aim	목적, 목표삼다
according	~에 따라서
forget	~을 잊다
mistake	잘못, 실수
strength	힘
constantly	끊임없이
neither	~도 아니고
dog	개
further	더 멀리, 더욱이
gain	~을 얻다
task	일, 직무
dry	마른, 물기 없는
alive	살아 있는
attack	~을 공격하다
architecture	건축술
health	건강
slowly	느리게
blind	눈 먼
anybody	누군가
insist	주장하다
excite	흥분시키다
coat	코트, 외투
tool	도구
product	생산품
hot	더운
truly	진실로
sweat	땀, 땀흘리다
guide	안내자, 안내하다
anxious	걱정하는, 열망하여
observation	관찰, 관측
instinct	본능
civilize	문명화하다
France	프랑스
spot	장소, 지점
send	~을 보내다
democratic	민주정치의
reduce	줄이다, 감소시키다
examination	시험
yesterday	어제
apart	떨어져서
motion	운동, 움직임
perfectly	완전히, 완벽하게
policeman	경찰관
gift	선물
seize	~을 붙잡다, 꽉 잡다
belong	속하다, 소유물이다
post	기둥
explanation	설명
extremely	극단적으로
wonderful	놀랄 만한, 경이적인
humanity	인류, 인간성
contain	~을 포함하다, 담고 있다
dinner	정찬, 만찬
trust	신임, 신뢰하다
pretty	예쁜, 꽤
bus	버스
paint	그리다
satisfactory	만족스러운
attach	~을 붙이다
pull	잡아당기다
pleasant	기분 좋은, 즐거운
intelligence	지능, 지성
mechanism	기계(류)
daughter	딸
size	크기
contrary	반대의
occupy	~을 잡다, 차지하다
ill	병든, 아픈
powerful	강력한
conflict	투쟁, 충돌
delight	기쁨, 즐거움
pretend	~인 체하다
floor	마루, 층
immediate	즉시의, 직접의
hunt	사냥하다
solve	(문제 등을) 풀다
claim	요구하다
devote	바치다, 쏟다
traffic	교통
percent	퍼센트, 백분율
balance	균형
original	최초의, 원래의
loose	느슨한, 헐거운
persuade	설득하다
professional	전문적인
represent	나타내다, 표현하다
pioneer	개척자
contemporary	현대의, 같은 시대의
proportion	비율
insect	곤충
being	존재, 실재
proper	적당한
responsibility	책임
basis	기초
corner	모퉁이
railroad	철도
fully	충분히
valuable	귀중한
active	활발한
reasonable	논리적인, 합리적인
refuse	거절하다
improvement	개선, 향상
technique	기법, 기교
closely	접근하여, 밀접하게
enjoyment	즐거움
technical	기술적인
loss	잃음, 손실
dangerous	위험한
wake	잠을 깨다
curious	호기심이 강한
plain	명백한, 평이한
wall	벽
weight	무게
behave	행동하다
extend	~을 뻗다, 연장하다
dollar	달러
tea	차
huge	거대한
wise	슬기로운, 현명한
reflect	반사하다
magazine	잡지
boat	보트
discuss	~을 논의하다
appeal	호소하다, 간청하다
stream	흐름
refer	언급하다
excitement	흥분, 자극
secure	안전한
skill	숙련, 기술
statement	진술
arrange	정돈하다, 배치하다
weapon	무기
foreigner	외국인
element	요소
necessarily	반드시
gather	모으다
equally	동등하게, 같게
treat	다루다, 취급하다
aid	돕다, 거들다
relatively	상대적으로
consist	~으로 이루어지다
peace	평화
engineer	기사, 기술자
appearance	외관, 생김새
fashion	유행
contact	접촉(하다)
photograph	사진
unable	할 수 없는
wisdom	지혜
smooth	매끄러운
worry	걱정하다
building	건물
sufficient	충분한
driver	운전사
superior	우수한
prejudice	편견
joy	기쁨
encourage	용기를 북돋다
vary	바뀌다, 변화하다
bee	꿀벌
tall	키가 큰
illness	병
complicate	복잡하게 하다
smile	미소짓다
blue	푸른
major	주요한
replace	~을 대신하다
contrast	대조
detail	상세한 설명
guess	추측하다
available	이용할 수 있는
protect	보호하다
region	지방
argument	논쟁
dictionary	사전
climate	기후
research	연구
evidence	증거
theater	극장
novel	소설
faculty	재능
tendency	경향
surely	확실히
adult	어른
reality	현실
repeat	되풀이하다
ahead	앞에, 앞쪽에
shop	상점
bound	경계(선)
consequence	결과
manager	지배인
arm	팔
primitive	원시의, 옛날의
ear	귀
lady	여자, 부인
blow	(바람이) 불다, 불어대다
aware	알고 있는
capable	능력이 있는
origin	기원, 유래
snow	눈
horizon	지평선
peculiar	이상한, 특이한
mention	말하다
enemy	적
intend	~할 작정이다
broad	넓은
fruit	과일
threat	협박
miss	놓치다, 그리워하다
owner	소유자
trip	여행
farm	농장
nice	좋은, 친절한
artificial	인공의
planet	행성
visitor	방문자
scene	장면
shock	충격(을 주다)
technology	과학기술
bright	밝은
cultural	교양적인, 문화적인
anxiety	걱정, 근심
rapidly	신속하게, 재빠르게
slight	근소한, 하찮은
king	왕
confidence	신임, 자신
chief	최고의
forest	숲
define	정의를 내리다
afford	~할 여유가 있다
spread	펴다, 펼치다
careful	주의 깊은
attend	~에 출석하다
significance	중요성
naturally	자연히
serve	~을 섬기다
philosopher	철학자
winter	겨울
worthy	가치 있는
compose	구성하다, 조직하다
obviously	명백하게
desert	사막
absorb	흡수하다
hair	머리카락, 털
microscope	현미경
test	시험, 검사하다
species	종
hat	모자
medium	중간, 보통의
aspect	면, 양상, 관점
ship	배
property	재산
grant	승인하다, 인정하다
publish	출판하다
bow	허리를 굽히다, 절하다
failure	실패
improve	개선하다, 향상하다
spent	spend(쓰다)의 과거/ 과거분사형
report	보도하다
feature	특징, 용모
gentleman	신사
seldom	좀처럼 ~하지 않다
season	계절
carefully	주의 깊게
connection	관계, 연계
fault	결점, 잘못
enterprise	기업
widely	넓게, 크게
sentence	문장
engage	약속하다
neglect	무시하다, 소홀히 하다
ignorance	무지
monkey	원숭이
partly	부분적으로
struggle	발버둥치다, 애쓰다
advice	충고
secret	비밀
range	범위
flood	홍수
admirable	훌륭한, 감탄할 만한
green	녹색
east	동쪽
professor	교수
tomb	무덤
leg	다리
bank	은행
organize	조직하다
trade	장사, 무역
safe	안전한
rough	거친
catch	붙잡다
international	국제적인
painting	그림 (그리기)
politics	정치
revolution	혁명
convince	확신시키다
feed	먹을 것을 주다
former	이전의
shoulder	어깨
disappear	사라지다
waste	낭비하다
praise	칭찬(하다)
local	지방의
stranger	낯선 사람
criticism	비평
examine	검사하다, 시험하다
discipline	훈련
relationship	관계
mine	나의 것
climb	오르다
greatly	크게, 몹시
top	정상, 꼭대기
educational	교육상의
gradually	서서히, 차츰
police	경찰
sell	팔다
dozen	다스(12개)
adequate	알맞은
tragedy	비극
significant	중요한, 의미있는
flow	흐르다
pet	애완동물
adapt	~을 적응시키다
alter	변경하다, 바꾸다
program	프로그램
production	생산
tough	질긴, 끈기 있는
apparently	명백하게
destruction	파괴
current	현재의
interval	간격
worst	가장 나쁜
custom	풍습, 관습
owe	빚지고 있다, ~의 덕택으로 알다
muscle	근육
accurate	정확한
military	육군의
copy	사본
agriculture	농업
skin	피부
quarrel	말다툼, 싸우다
friendly	친한, 정다운
previous	이전의
date	날짜
exception	예외
effective	효과적인
permit	허가하다
pronounce	발음하다
coal	석탄
adopt	채택하다, 양자로 삼다
resistance	저항
decade	10년간
nose	코
emotional	감정적인
anger	화, 노여움
jump	도약, 뛰어오르다
critical	비평의, 비판적인
honor	명예
employ	고용하다
tear	찢다
conclusion	결말
weigh	무게를 달다, 무게가 ~나가다
coast	해안
vocabulary	어휘
background	배경
roll	구르다, 굴러가다
presence	존재, 출석
demonstrate	증명하다, 설명하다
below	~보다 아래에
hurt	상처를 입히다
endeavor	노력
comb	빗
graduate	졸업하다
altogether	전적으로, 완전히
count	세다
shoe	구두
aunt	아주머니
remove	옮기다, 제거하다
beat	치다, 때리다
deny	부정하다
economy	경제
ignore	무시하다
honest	정직한
argue	논쟁하다
bridge	다리
creation	창조
independence	독립
notion	개념
length	길이
advise	충고하다
acquaintance	아는 사람
beside	~의 곁에
favor	호의
angry	노한, 화난
thinking	생각, 의견
nevertheless	그럼에도 불구하고
protest	항의하다
defeat	쳐부수다, 패배시키다
nineteenth	제 19의, 19일
command	명령하다
cloud	구름
independent	독립한
fresh	신선한
win	이기다
charge	책임, 의무
oneself	자기 자신
proud	자랑스러운
somehow	어떻게 해서든지
relative	상대적인, 친척
quick	빠른, 신속한
rapid	재빠른, 민첩한
speaker	말하는 사람
directly	직접, 곧장
properly	적당하게
vague	막연한, 모호한
lesson	학과, 수업
map	지도
deeply	깊게
sail	돛, 항해하다
disappoint	실망시키다
biography	전기, 일대기
goal	목표, 결승점
cheap	(값이) 싼
soil	흙, 토질
chair	의자
push	밀다
possession	소유
inside	안쪽
actor	남자 배우
silence	침묵
exchange	교환하다
rush	돌진하다, 서두르다
address	주소
dislike	싫어하다
fix	수리하다, 고정시키다
unknown	알려지지 않은
square	네모진 것, 광장
message	메시지, 전갈
privilege	특권
whereas	그러나 (사실은), ~에 반(反)하여
virtue	선, 미덕
hotel	호텔
rarely	드물게
hesitate	주저하다
dignity	위엄
resource	자원
straight	똑바른
landscape	경치, 풍경
poverty	빈곤
narrow	좁은
sing	노래하다
spiritual	정신적인, 영적인
per	~마다
scarcely	거의 ~않다
historian	역사가
lake	호수
ease	편함, 안락
genuine	진짜의
glance	힐끗 보다
resist	저항하다
check	조사하다, 점검하다
mood	기분
indicate	가리키다, 지적하다
park	공원
alike	서로 같은
ours	우리의 것
cast	던지다
hill	작은 산, 언덕
satisfaction	만족
tomorrow	내일
moreover	게다가, 더욱이
bosom	가슴, 흉부
wash	씻다
sir	선생, 님, 씨
series	일련, 연속
laughter	웃음, 웃음소리
preserve	보존하다
blame	나무라다, 책망하다
actual	현실의, 사실상의
exhibit	전시[전람]하다
box	상자
soldier	군인
training	훈련
shadow	그림자
weak	약한
ambition	야심, 야망
glass	유리
excellent	우수한, 뛰어난
scale	저울, 규모
somewhat	약간, 다소
painter	화가
remarkable	두드러진, 눈에 띌 만한
sorry	미안하게 생각하는, 유감스러운
last	계속하다, 지속하다
healthy	건강에 좋은
breakfast	아침밥
arise	일어나다, 발생하다
press	누르다
sew	꿰매다
manufacture	제조[하다]
reference	언급, 참조
estimate	어림잡다, 견적
everywhere	도처에
self	자기, 자신
meal	식사
orchestra	관현악단
clean	청결한
furniture	가구
medieval	중세의
twice	두 번
Africa	아프리카
fox	여우
pronunciation	발음
invent	발명하다
expensive	값비싼
excuse	용서하다, 변명하다
fundamental	근본적인
hit	치다
efficient	능률적인, 효과가 있는
grass	풀, 잔디
definite	명확한
desk	책상
join	참가하다
style	스타일, 종류, 형
remind	생각나게 하다
minority	소수
Germany	독일
introduce	소개하다
branch	가지
sudden	갑작스러운
pour	붓다
hero	영웅
benefit	이익
apparent	명백한
marriage	결혼
pride	자랑, 자존심
will	의지
hostility	적의, 적개심
ride	타다
fairly	공정히, 공평히
laboratory	실험실
throw	던지다
cool	서늘한
page	페이지
circle	원
whenever	~할 때마다
poem	시
obtain	얻다, 획득하다
principal	주요한
thoroughly	철저히
lawyer	법률가
empty	빈, 공허한
tourist	여행자
noble	고귀한
male	남성
medicine	약
hospital	병원
volume	권, 부피
pear	배
fair	공정한
sugar	설탕
exhaust	다 써버리다, 소모하다
couple	한 쌍
perform	실행하다, 연기(연주)하다
sick	병 난, 앓는
pupil	학생, 눈동자
remark	주의하다, 말하다
computer	컴퓨터
operation	작동
guard	지키다
enthusiasm	열정
universal	우주의
heaven	하늘, 천국
design	디자인(하다), 설계하다
wealth	부, 재산
divide	나누다
China	중국
literary	읽고 쓸 줄 앎, 지식, 능력
evolution	진화
official	공무원
addition	추가, 부가
birth	출생
brow	눈썹, 이마
vision	시력
till	~까지
tired	피로한
stick	막대기
profession	직업
individuality	개성, 인격
absence	부재, 결석
firm	견고한, 확고한
fatigue	피로
wander	떠돌아 다니다
constitute	구성하다
talent	재능
traditional	전통적인
prosperity	번영
extraordinary	비상한, 색다른
Asia	아시아
distinction	구별, 차이
south	남쪽
stretch	쭉 펴다, 뻗치다
wound	상처, 부상(하게 하다)
organization	조직
intellect	지력, 지성
red	빨강
Spanish	스페인 (사람)의, 스페인어
typical	전형적인
connect	~을 잇다, 연결하다
worship	숭배, 숭배하다
sensitive	예민한
symbol	상징
bread	빵
slave	노예
confine	한정하다
crow	까마귀
film	필름
issue	논점
appropriate	적당한
tone	어조, 말씨
yours	당신의 것
steak	스테이크
territory	영토
imply	의미하다
